tariff_from,arpu_segment,n_customers,arpu_mean,be_push,be_sms,be_sms_vs_push,be_digital_ads,be_digital_ads_vs_sms,be_call,be_call_vs_digital_ads
tariff_17,MID,32,5204.27029,0.0,0.00118,0.05124,0.00497,0.17293,0.02562,0.75762
tariff_18,HIGH,35,8175.35031,0.0,0.00075,0.03262,0.00317,0.11009,0.01631,0.48229
tariff_18,LOW,19,3161.20948,0.0,0.00195,0.08436,0.00819,0.2847,0.04218,1.24726
tariff_18,MID,13,5385.85627,0.0,0.00114,0.04951,0.00481,0.1671,0.02476,0.73208
tariff_19,HIGH,33,7859.11556,0.0,0.00078,0.03393,0.00329,0.11452,0.01697,0.50169
tariff_19,LOW,14,2909.88931,0.0,0.00211,0.09164,0.00889,0.30929,0.04582,1.35499
tariff_19,MID,26,4586.50092,0.0,0.00134,0.05814,0.00564,0.19623,0.02907,0.85967
tariff_2,HIGH,7,5257.17582,0.0,0.00117,0.05072,0.00492,0.17119,0.02536,0.75
tariff_2,LOW,9,2661.26524,0.0,0.00231,0.1002,0.00973,0.33819,0.0501,1.48157
tariff_2,MID,20,4609.65211,0.0,0.00133,0.05785,0.00561,0.19524,0.02892,0.85535
tariff_20,HIGH,38,7560.28218,0.0,0.00081,0.03527,0.00342,0.11904,0.01764,0.52152
tariff_20,LOW,5,3654.89876,0.0,0.00168,0.07296,0.00708,0.24624,0.03648,1.07879
tariff_20,MID,7,5750.97279,0.0,0.00107,0.04637,0.0045,0.1565,0.02318,0.6856
tariff_21,HIGH,5,8012.76563,0.0,0.00077,0.03328,0.00323,0.11232,0.01664,0.49207
tariff_21,LOW,12,4695.19411,0.0,0.00131,0.0568,0.00551,0.19169,0.0284,0.83976
tariff_21,MID,13,4395.4906,0.0,0.0014,0.06067,0.00589,0.20476,0.03033,0.89702
tariff_3,HIGH,27,6668.5059,0.0,0.00092,0.03999,0.00388,0.13496,0.01999,0.59127
tariff_3,LOW,56,2866.86513,0.0,0.00215,0.09302,0.00903,0.31393,0.04651,1.37532
tariff_3,MID,87,4067.90524,0.0,0.00151,0.06555,0.00636,0.22124,0.03278,0.96926
tariff_4,HIGH,2108,7492.46763,0.0,0.00082,0.03559,0.00345,0.12012,0.0178,0.52624
tariff_4,LOW,299,2868.10428,0.0,0.00215,0.09298,0.00902,0.3138,0.04649,1.37473
tariff_4,MID,1227,4760.01405,0.0,0.00129,0.05602,0.00544,0.18908,0.02801,0.82833
tariff_5,HIGH,109,6790.09231,0.0,0.00091,0.03927,0.00381,0.13255,0.01964,0.58068
tariff_5,LOW,44,3003.49282,0.0,0.00205,0.08879,0.00862,0.29965,0.04439,1.31276
tariff_5,MID,91,4041.98473,0.0,0.00152,0.06597,0.0064,0.22266,0.03299,0.97548
tariff_6,HIGH,53,6446.51959,0.0,0.00095,0.04137,0.00401,0.13961,0.02068,0.61163
tariff_6,LOW,30,3234.65364,0.0,0.0019,0.08244,0.008,0.27824,0.04122,1.21894
tariff_6,MID,34,3980.92944,0.0,0.00155,0.06699,0.0065,0.22608,0.03349,0.99044
tariff_7,HIGH,72,7214.41145,0.0,0.00085,0.03696,0.00359,0.12475,0.01848,0.54653
tariff_7,LOW,29,3223.65905,0.0,0.00191,0.08272,0.00803,0.27919,0.04136,1.2231
tariff_7,MID,52,5145.58996,0.0,0.0012,0.05182,0.00503,0.17491,0.02591,0.76626
tariff_8,HIGH,4726,7826.51459,0.0,0.00079,0.03407,0.00331,0.11499,0.01704,0.50378
tariff_8,LOW,457,2871.46207,0.0,0.00214,0.09287,0.00901,0.31343,0.04643,1.37312
tariff_8,MID,1720,4665.4011,0.0,0.00132,0.05716,0.00555,0.19291,0.02858,0.84513
tariff_9,HIGH,9,5837.46808,0.0,0.00105,0.04568,0.00443,0.15418,0.02284,0.67544
tariff_9,LOW,51,3087.31441,0.0,0.00199,0.08637,0.00838,0.29152,0.04319,1.27712
tariff_9,MID,67,4198.08059,0.0,0.00147,0.06352,0.00617,0.21438,0.03176,0.9392
