scenario,seed,world,ceiling,agent,agent_campaigns,history_only,history_only_campaigns,known,known_campaigns,known_channels,known_channels_campaigns,known_channels_mix
random,11,random-11,3712958.5236676745,1562399.6978506942,3,1539394.300776352,8,2743223.9992686016,7,2910585.1464154674,7,"digital_ads,push,sms"
random,12,random-12,1661198.0978141502,86633.33650248083,2,-549564.237389749,8,1040072.6545291892,10,1095178.873601885,10,"digital_ads,sms"
random,13,random-13,4399599.381557259,1423161.0754755032,4,2698680.6077958867,8,2916276.333158367,7,2992570.9720980376,7,"digital_ads,sms"
random,14,random-14,2872452.0654413477,763173.49029163,5,1176516.0682111618,8,1540234.1673586257,7,1664323.2976753742,7,"digital_ads,push,sms"
noise,0,noise-0,5325899.992108558,3074603.1861504735,3,3794908.1252636574,8,3773406.1325617023,7,4159979.0961598437,7,"digital_ads,push,sms"
noise,1,noise-1,6628378.79752392,4642688.888674074,4,4246108.949956216,8,4830118.999804029,6,5068400.753894569,6,"call,digital_ads,push,sms"
noise,2,noise-2,6273897.32074387,3871821.518428743,3,4791554.081922399,8,5002160.467043658,6,5278855.7480682405,6,"call,digital_ads,push,sms"
noise,3,noise-3,9341362.050934296,4546680.363969061,4,6001966.833814537,8,6600353.889979736,7,6970650.039671458,7,"digital_ads,push,sms"
noise,4,noise-4,7628319.812263418,4532761.126553921,5,4879318.522172345,8,5408468.7731533125,6,5674991.933679774,6,"digital_ads,push,sms"
noise,5,noise-5,8966756.301907197,5056804.585931498,4,5059141.99260373,8,5833348.781127589,6,5875399.562211404,6,"digital_ads,sms"
noise,6,noise-6,6817228.77222624,4773271.318104023,4,4992042.808595037,8,5003559.139695385,6,5338051.283126431,6,"call,digital_ads,push,sms"
noise,7,noise-7,10638865.662896572,7161893.252489196,4,6825749.742139741,8,7420276.450075424,8,7821564.102429353,8,"digital_ads,push,sms"
noise,8,noise-8,8575949.056431359,6055322.4607500415,4,6655815.6347956415,8,6656633.509902295,6,6896896.291646639,6,"call,digital_ads,push,sms"
noise,9,noise-9,7004098.654935989,4704280.156293822,5,4806613.019294584,8,5326107.760089319,7,5665915.884763932,7,"digital_ads,push,sms"
noise,10,noise-10,4322878.132970232,2505065.4547692263,3,2844926.503693603,8,3065520.8004402015,8,3368433.828736636,8,"digital_ads,push,sms"
noise,11,noise-11,6877132.975774279,3074072.8375629056,3,4117786.20651108,8,4279107.508019313,6,4577540.863270557,6,"digital_ads,push,sms"
noise,12,noise-12,8120639.313410137,5208426.505342744,5,5440593.095395638,8,6052420.191991692,7,6567799.637941817,7,"call,digital_ads,push,sms"
noise,13,noise-13,5433755.146162977,2463116.116874609,3,3246167.990277541,8,4184110.9918834157,6,4427890.227529252,6,"digital_ads,sms"
noise,14,noise-14,7781553.962935898,5666282.118858372,4,5693962.934856912,8,5808935.640567109,6,6202447.558706181,6,"call,digital_ads,push,sms"
flip,0,flip-0,7401788.649650674,3441726.872819691,2,3406509.168697471,8,5643843.284806996,8,5953294.73994826,8,"digital_ads,push,sms"
flip,1,flip-1,7558448.0387297,1725779.8728704108,3,1828649.197837946,8,6021098.588523017,5,6021098.588523017,5,sms
flip,2,flip-2,4065414.051054753,462973.3892242729,2,139855.0405899041,8,3127965.6566734584,9,3428468.561857706,9,"digital_ads,push,sms"
flip,3,flip-3,6125895.111678861,989175.7606103942,2,-691957.9343491568,8,4327260.835854744,4,4587697.586104163,4,"digital_ads,sms"
flip,4,flip-4,4804592.588395663,561276.0601650772,1,725156.2706721878,8,3647425.7973959157,9,4131225.2661601845,9,"digital_ads,push,sms"
flip,5,flip-5,7042558.765122559,2910524.30997762,4,2358724.641168533,8,5360283.914145149,4,5360283.914145149,4,sms
flip,6,flip-6,4739012.648249794,1356679.8098869626,2,-270941.975256136,8,3833861.4339145543,6,4083495.3067650595,6,"digital_ads,push,sms"
flip,7,flip-7,7682805.261755538,2496660.7160072583,2,2250263.7779163904,8,5796528.288405469,4,5796528.288405469,4,sms
flip,8,flip-8,6850509.356618961,3331232.5527218506,5,3274484.4415335627,8,5320529.186728194,5,5320529.186728194,5,sms
flip,9,flip-9,7028785.821906843,2670704.86101676,5,2674431.2477622926,8,4766785.073626527,9,5038205.746207438,9,"digital_ads,push,sms"
flip,10,flip-10,6480808.155703188,2068198.1718666125,3,2260304.2235650835,8,5212102.505445887,7,5436623.61385016,7,"digital_ads,sms"
flip,11,flip-11,6730229.166726416,2733642.9018125064,3,2651783.3605919904,8,5602428.150289174,5,5836038.873279905,5,"digital_ads,push,sms"
flip,12,flip-12,7307226.467389479,2780022.1591245183,5,3074760.975794998,8,6172087.85412709,7,6271542.635686578,7,"digital_ads,sms"
flip,13,flip-13,6832976.86304113,2484937.83182398,5,2041540.1413484877,8,5640764.297283431,8,5834701.574529428,8,"digital_ads,sms"
flip,14,flip-14,5752312.80092795,3885684.8668116555,5,3347351.389391709,8,4493061.651402626,8,4561789.960122175,8,"digital_ads,sms"
shift,0,shift-0,5657898.497987556,1504869.3831654526,3,2026626.7995117977,8,2513930.2988070925,6,2514012.801897602,6,"digital_ads,sms"
shift,1,shift-1,5774945.552231509,2191338.098246245,4,1866869.6368430532,8,2204946.75989688,7,2370859.7115520723,7,"call,digital_ads,push,sms"
shift,2,shift-2,5627916.02902051,1259854.0989102726,5,1464599.0229414785,8,2927243.0279046427,7,3113740.621271205,7,"digital_ads,push,sms"
shift,3,shift-3,6044831.586039522,3177562.159611688,4,2380358.5673913145,8,3956833.8874177393,7,4541616.77116061,7,"digital_ads,push,sms"
shift,4,shift-4,6782177.053675786,1157432.214596007,4,2738480.2450864506,8,3257324.36384348,8,3241284.3380291457,8,"digital_ads,sms"
shift,5,shift-5,5863964.993256331,-56533.056061159165,1,-148090.86231799753,8,2373953.521093296,8,2489040.0986479796,8,"digital_ads,push,sms"
shift,6,shift-6,5772426.505853035,590614.0272845766,2,442866.65757365414,8,1712356.9055453292,8,1805071.9070232154,8,"digital_ads,push,sms"
shift,7,shift-7,5806863.831951503,381653.1562444301,1,748264.801453893,8,2523540.3549069334,8,2612206.5498887748,8,"digital_ads,push,sms"
shift,8,shift-8,5385965.279742726,2180735.1053079255,3,2330201.379477583,8,3099408.806363429,7,3492229.625094871,7,"digital_ads,push,sms"
shift,9,shift-9,5967278.355903757,677421.3928059556,3,1651457.2065908676,8,2152742.1385812247,8,2318378.7294859085,8,"digital_ads,push,sms"
shift,10,shift-10,6384782.929204959,3554861.550936736,3,3575994.1981784157,8,4422256.3095472185,6,4580049.149912072,6,"call,digital_ads,push,sms"
shift,11,shift-11,5450223.783366534,1565670.632577233,3,1566271.0552164149,8,2678566.9494546633,7,2865921.1225802023,7,"call,digital_ads,push,sms"
shift,12,shift-12,6379986.923024506,288354.40332349984,2,870040.073336466,8,3190181.0736211147,8,3478014.649215379,8,"digital_ads,push,sms"
shift,13,shift-13,6265058.010029336,769715.4758968125,3,259930.98003462463,8,2011725.369699801,8,2136705.195094731,8,"digital_ads,push,sms"
shift,14,shift-14,5086752.183513709,157197.9285664782,4,280615.207911852,8,2357083.3606279995,8,2438940.679407277,8,"digital_ads,push,sms"
stingy,0,stingy-0,1762751.8633088083,1135761.4016783535,3,1289751.1672462984,8,1363843.6391523075,7,1407824.5885821516,7,"digital_ads,push,sms"
stingy,1,stingy-1,1960964.3347557492,1256332.2548132949,2,1489884.1249444853,8,1530222.3434578585,7,1582578.364520469,7,"digital_ads,push,sms"
stingy,2,stingy-2,1726080.3678366723,899642.7608701098,3,1304636.015034147,8,1342849.0654888416,6,1409177.5014457875,6,"digital_ads,push,sms"
stingy,3,stingy-3,2205914.589913318,1391269.9311945934,3,1696776.3591999665,8,1755693.6892674754,7,1834412.7077837687,7,"digital_ads,push,sms"
stingy,4,stingy-4,2223887.1391304755,633167.0488569505,4,1506959.5055564889,8,1710586.9029144668,6,1812433.2435783208,6,"digital_ads,push,sms"
stingy,5,stingy-5,1351606.0007458362,155548.94707688474,1,1081261.4081256473,8,1075286.7246719482,7,1079023.8242866928,7,"digital_ads,push,sms"
stingy,6,stingy-6,1192493.791986937,835801.8264617781,3,813832.991218496,8,944583.3108678327,8,995275.810145916,8,"digital_ads,push,sms"
stingy,7,stingy-7,1513308.8620948978,384222.1898141136,2,1160548.5229288796,8,1224676.7404517618,6,1271372.899962812,6,"digital_ads,push,sms"
stingy,8,stingy-8,1751629.1078929494,1249424.8092971498,4,1237805.077397563,8,1356144.6410424183,7,1412576.2270179694,7,"digital_ads,push,sms"
stingy,9,stingy-9,1929698.2866812185,718886.9038299934,4,1275788.1742887385,8,1517881.7909794133,7,1593730.5191617983,7,"digital_ads,push,sms"
stingy,10,stingy-10,2029377.8048667377,1317309.8782051667,2,1490173.257304775,8,1580197.89838988,6,1660820.7439765176,6,"digital_ads,push,sms"
stingy,11,stingy-11,1690690.6818828587,525988.8610005145,3,1184858.8954815678,8,1329676.2871418323,7,1391589.7954784932,7,"digital_ads,push,sms"
stingy,12,stingy-12,1793826.3930525226,1228145.2054157406,3,1278828.6287362725,8,1409659.6584969265,7,1476632.177540809,7,"digital_ads,push,sms"
stingy,13,stingy-13,1525787.6206989763,460081.32528777834,4,1202556.9061167175,8,1184995.3247340804,6,1212373.9486528502,6,"digital_ads,push,sms"
stingy,14,stingy-14,1650521.604213431,374355.30111325043,3,1238241.6652382389,8,1321901.9620815695,6,1373924.6437874297,6,"digital_ads,push,sms"
unknown_rich,0,unknown_rich-0,4047040.0395847955,908239.5197384383,2,1126402.701301361,8,1995864.808250172,6,2061150.2927677408,6,"digital_ads,push,sms"
unknown_rich,1,unknown_rich-1,4150699.3131245654,993280.6365631729,2,1030342.5118542602,8,1466581.3145788563,10,1465825.6195834777,10,"digital_ads,sms"
unknown_rich,2,unknown_rich-2,4018134.1551502366,659715.1252684813,3,955517.2895647034,8,1603633.1545422482,6,1683826.765645505,6,"digital_ads,push,sms"
unknown_rich,3,unknown_rich-3,3931165.7281658147,1185072.5189617453,3,1341433.728021935,8,1870862.4913822585,6,1870952.6553615998,6,"digital_ads,sms"
unknown_rich,4,unknown_rich-4,4193654.0042810272,764750.0519575742,4,1752092.61518022,8,2326740.680042589,6,2402797.3312292714,6,"digital_ads,push,sms"
unknown_rich,5,unknown_rich-5,3518197.7282127617,110316.69218147208,1,880607.1407446143,8,1894742.9153043102,8,1905035.8212202045,8,"digital_ads,sms"
unknown_rich,6,unknown_rich-6,4085492.4461449035,727401.7945828236,3,711408.8689395265,8,1617721.350443279,8,1620517.9324394125,8,"digital_ads,sms"
unknown_rich,7,unknown_rich-7,4162555.5544257094,760433.5812579258,2,1712444.3419757606,8,2348983.787282626,6,2477443.8159528086,6,"digital_ads,sms"
unknown_rich,8,unknown_rich-8,4097433.690095171,176915.4225170249,1,801922.7512533184,8,1576014.933011219,7,1691743.614857717,7,"digital_ads,push,sms"
unknown_rich,9,unknown_rich-9,3958074.1455594054,273825.0029748521,3,985268.0007445542,8,1929064.8857120676,7,2063477.0287720133,7,"digital_ads,push,sms"
unknown_rich,10,unknown_rich-10,3961505.1614000327,1590282.9459980645,3,1953532.1764998068,8,2262690.926261944,8,2265488.8202210395,8,"digital_ads,sms"
unknown_rich,11,unknown_rich-11,4015826.3322726893,446737.52899234695,3,1107004.834198528,8,1680047.7588422114,6,1729149.0526696206,6,"digital_ads,push,sms"
unknown_rich,12,unknown_rich-12,4340301.319951285,1861696.252853409,3,1997066.50087508,8,2428090.4281912637,6,2512021.627355174,6,"digital_ads,sms"
unknown_rich,13,unknown_rich-13,4076415.934436027,351781.9575904102,3,956666.576477023,8,1545947.0153517977,7,1549656.606803963,7,"digital_ads,sms"
unknown_rich,14,unknown_rich-14,4415501.71891541,1019560.7691053587,5,2168697.6870712163,8,2484220.5779191544,7,2588297.2972373203,7,"digital_ads,push,sms"
high_rich,0,high_rich-0,10981766.704578562,6375028.02107035,3,7031824.8124748,8,8091453.984856143,4,8091453.984856143,4,sms
high_rich,1,high_rich-1,8278185.302198437,5472660.766282313,3,6379409.741545181,8,5638944.1051789,4,5638944.1051789,4,sms
high_rich,2,high_rich-2,7588546.588372159,3289066.453778007,3,4249174.6023018155,8,4979970.893070722,4,4979970.893070722,4,sms
high_rich,3,high_rich-3,8144540.4631124865,3835373.5135487993,4,5282878.77691703,8,5567519.147134333,4,5567519.147134333,4,sms
high_rich,4,high_rich-4,10217384.829623327,4069377.712162631,3,6935813.412274977,8,7811560.002910604,4,7811560.002910604,4,sms
high_rich,5,high_rich-5,8254959.544173632,4954532.339643434,3,5597192.160783,8,6371191.673307001,4,6371191.673307001,4,sms
high_rich,6,high_rich-6,13051905.339412384,6425935.024295046,3,7118178.714057237,8,9270177.699338198,4,9270177.699338198,4,sms
high_rich,7,high_rich-7,14381413.421811271,5856689.746129601,3,6747783.995507954,8,9321118.715052163,4,9321118.715052163,4,sms
high_rich,8,high_rich-8,12653144.551752169,4454034.11136292,4,7102906.343723584,8,9048726.974366747,4,9048726.974366747,4,sms
high_rich,9,high_rich-9,12007632.471272435,4548832.451481424,3,7099007.108938033,8,8304282.70137598,4,8304282.70137598,4,sms
high_rich,10,high_rich-10,9107840.400959928,5390901.290182745,4,5996093.814981319,8,6679598.343330804,4,6679598.343330804,4,sms
high_rich,11,high_rich-11,7051308.197410596,3529331.7101240233,3,5271762.264172785,8,5035941.438027897,4,5035941.438027897,4,sms
high_rich,12,high_rich-12,10684689.443471637,5008684.292672639,3,6801375.606209119,8,8112525.491427003,4,8112525.491427003,4,sms
high_rich,13,high_rich-13,9269834.344664345,4431482.2992908135,3,5822741.799498551,8,6554206.1329564545,4,6554206.1329564545,4,sms
high_rich,14,high_rich-14,10614781.186417453,5570839.490460759,4,6730826.0574996015,8,7575085.541019078,4,7575085.541019078,4,sms
resample,0,resample-0,6827536.2848320315,4159793.4122622525,3,4781487.574262503,8,5065232.598888883,7,5429344.691838244,7,"digital_ads,push,sms"
resample,1,resample-1,6889674.803750872,4365692.090681001,4,4894032.467268917,8,5071541.787090916,8,5461315.467382997,8,"digital_ads,push,sms"
resample,2,resample-2,6833739.259258899,3937402.016884784,3,4740862.010028004,8,5270303.515297541,8,5638845.887794759,8,"call,digital_ads,push,sms"
resample,3,resample-3,7116917.333701783,4410279.572350733,4,5371025.141594479,8,5430992.813063001,8,5829173.954340391,8,"digital_ads,push,sms"
resample,4,resample-4,7247382.188290655,4496713.045224357,4,4829160.820274545,8,5305591.975065358,8,5687427.341531539,8,"call,digital_ads,push,sms"
resample,5,resample-5,6897563.951616262,4576450.051649699,4,4496120.464068741,8,5014754.615654488,9,5384177.25119302,9,"digital_ads,push,sms"
resample,6,resample-6,7642792.834200025,4467915.003690445,3,5129210.976019617,8,5728546.742146737,8,6092288.532925921,8,"call,digital_ads,push,sms"
resample,7,resample-7,7020176.026689362,5108842.897076712,4,5412757.796263225,8,5428228.296366159,6,5881873.252453934,6,"digital_ads,push,sms"
resample,8,resample-8,6651373.325423664,3995527.6414404726,4,4148861.479586793,8,4582263.785285098,9,4871640.715587982,9,"call,digital_ads,push,sms"
resample,9,resample-9,7357222.697209594,4689812.463849219,5,4558406.606490015,8,5164956.400890339,8,5491120.447704636,8,"call,digital_ads,push,sms"
resample,10,resample-10,6995948.697941168,4529768.478484558,3,5247498.8067985065,8,5405242.143169787,7,5859578.574435402,7,"digital_ads,push,sms"
resample,11,resample-11,6990172.075733832,4285287.516508814,3,4859917.203675237,8,5070492.849696692,8,5421976.135659401,8,"digital_ads,push,sms"
resample,12,resample-12,6588321.293668329,4216339.522452308,5,4561332.309286986,8,5150353.2050921,9,5612921.430894508,9,"call,digital_ads,push,sms"
resample,13,resample-13,6808884.318511596,3832423.4225673615,4,4685864.807712749,8,5400642.174393786,8,5887061.035550737,8,"call,digital_ads,push,sms"
resample,14,resample-14,6848778.545840109,4689577.106230021,4,4584162.5291073285,8,5124649.021186022,9,5545458.426882723,9,"call,digital_ads,push,sms"
random_soft,0,random_soft-0,3429525.1412706245,939830.7211270345,2,-91186.89975343437,8,1917476.073406592,7,1916962.3199063537,7,"digital_ads,sms"
random_soft,1,random_soft-1,2280511.0031869323,67333.73548994774,1,420121.6686622574,8,1089586.871180033,6,1094072.9886179785,6,"digital_ads,sms"
random_soft,2,random_soft-2,3548565.582269324,831829.2233570112,5,1255350.69551423,8,2960918.5025764424,7,2966068.6587050697,7,"digital_ads,push,sms"
random_soft,3,random_soft-3,4881194.0062294295,1052175.5816331818,3,-1233548.939381608,8,1936645.7307995846,6,1940675.069132512,6,"digital_ads,push,sms"
random_soft,4,random_soft-4,8733676.815606391,2690094.556307636,5,3321447.229374989,8,5756730.241358535,6,6487140.895461617,6,"digital_ads,push,sms"
random_soft,5,random_soft-5,12767556.07236158,5397904.3740283875,3,5453452.415885465,8,5876623.428738395,5,5876623.428738395,5,sms
random_soft,6,random_soft-6,12539006.237429366,6041467.877812406,3,5376842.197421199,8,8480628.408256216,9,9511632.93889253,9,"digital_ads,push,sms"
random_soft,7,random_soft-7,1847705.5103045725,229408.42302622623,1,735664.3984022457,8,1445263.7793773103,7,1492387.538610753,7,"digital_ads,push,sms"
random_soft,8,random_soft-8,6758847.024907316,3479050.4618062074,4,4460590.072789097,8,4694795.151629663,6,4750896.120080484,6,"digital_ads,sms"
random_soft,9,random_soft-9,1913402.6492970558,821508.9354076216,4,458382.3008241099,8,1447330.712556008,9,1598373.8527429248,9,"digital_ads,push,sms"
random_soft,10,random_soft-10,4017395.9940376845,1688885.9309955682,3,1264246.426796805,8,2973106.872442115,5,2973106.872442115,5,sms
random_soft,11,random_soft-11,4170549.0460122423,94882.58494536483,4,-539315.1538821958,8,2276384.6983412057,8,2328051.248609652,8,"digital_ads,sms"
random_soft,12,random_soft-12,7235918.60197798,4838042.208051406,3,4482902.143806351,8,4825221.563018991,5,4880453.861775519,5,"digital_ads,sms"
random_soft,13,random_soft-13,3868723.5562622594,847631.6032391075,4,1762967.8289120023,8,3005263.9368589716,5,3005263.9368589716,5,sms
random_soft,14,random_soft-14,3495880.825550673,189100.50099912024,3,817996.9843471483,8,1610246.899868501,8,1630107.958033151,8,"digital_ads,sms"
random_hard,0,random_hard-0,9671594.165875666,1232003.54993983,4,1282319.9789530304,8,3585903.144908889,6,3609923.0608404633,6,"digital_ads,sms"
random_hard,1,random_hard-1,3772199.2262356044,1579032.8936156014,3,255965.5231826363,8,2200919.145617808,10,2317002.511830972,10,"digital_ads,push,sms"
random_hard,2,random_hard-2,3961313.287063549,914143.4762758327,3,797290.4010144997,8,1740624.7301011528,5,1772918.8165620377,5,"digital_ads,push,sms"
random_hard,3,random_hard-3,10540050.327982273,3778156.0246198457,4,4052176.185311407,8,4852303.461073889,5,4851620.586119687,5,"digital_ads,sms"
random_hard,4,random_hard-4,1688308.1239200372,-269259.50152683305,1,-1624189.2653500224,8,536772.2544965344,6,634407.0536567937,6,"call,digital_ads,push,sms"
random_hard,5,random_hard-5,4583054.3290916905,-136349.65944941228,1,-1610666.2412882363,8,2044151.69545495,6,2095096.0393221364,6,"digital_ads,sms"
random_hard,6,random_hard-6,3114633.328306681,1199860.597183529,3,44514.58466172617,8,2068610.0720767211,8,2125700.023737709,8,"digital_ads,push,sms"
random_hard,7,random_hard-7,6965191.173649738,1185143.714417078,1,898212.3446106387,8,3441145.512791442,6,3751496.20633258,6,"digital_ads,push,sms"
random_hard,8,random_hard-8,10612386.99385397,2665257.1262251935,4,4017968.647387097,8,7876578.00610991,4,7876718.557360232,4,"digital_ads,sms"
random_hard,9,random_hard-9,3667000.0092120045,224332.13032057293,5,-569651.2249187597,8,1728349.1002175198,6,1856852.2345208048,6,"digital_ads,push,sms"
random_hard,10,random_hard-10,2649665.7250667927,172561.8946109214,1,-500409.9328767299,8,1201609.9592499384,7,1248211.0873579162,7,"digital_ads,push,sms"
random_hard,11,random_hard-11,2320234.010057198,150283.41270358503,2,341854.8886337449,8,1125678.313179775,9,1143987.48849959,9,"digital_ads,sms"
random_hard,12,random_hard-12,4719966.979793326,1444835.3288181531,3,-1019887.1202341636,8,3102926.5731645897,8,3253696.2817215486,8,"digital_ads,push,sms"
random_hard,13,random_hard-13,2227422.502104713,-84821.85100119028,3,-476981.54282700253,8,1242801.3767467784,8,1245054.2767810146,8,"digital_ads,sms"
random_hard,14,random_hard-14,8490635.04374874,495009.7693131404,2,-796735.1395528049,8,5965914.981015838,4,5965914.981015838,4,sms
causal,0,causal-0,2636638.1670270218,850848.5301355897,1,1694016.718370092,8,1731675.2214852595,5,1731675.2214852595,5,sms
causal,1,causal-1,3034296.064695256,320381.7735662294,2,1684532.76002734,8,1970073.607046917,6,2155866.5290716584,6,"digital_ads,push,sms"
causal,2,causal-2,2598908.8063501567,1306139.9803903077,3,1839390.683119416,8,1896329.7048047364,5,1896329.7048047364,5,sms
causal,3,causal-3,3437561.820037679,1335675.618608798,2,2194656.4492029357,8,2071073.9806741928,6,2110033.5008629793,6,"digital_ads,sms"
causal,4,causal-4,2704136.716850427,388661.9273343108,2,1602985.1312693127,8,1949552.9786019153,6,2159973.6864496088,6,"digital_ads,push,sms"
causal,5,causal-5,3673033.2613519686,1995645.2022791035,2,2687094.474267551,8,2789031.2591512483,6,2874790.749547732,6,"digital_ads,push,sms"
causal,6,causal-6,3296627.681385867,1663092.8198122883,3,1562178.1299344008,8,2279045.1260524946,9,2354450.690406098,9,"digital_ads,push,sms"
causal,7,causal-7,2766873.083099743,506133.40528314305,1,1912342.710171708,8,2078987.7638612054,6,2148469.2709039403,6,"call,digital_ads,push,sms"
causal,8,causal-8,2834911.8500186857,1668858.550935301,3,1309672.6738118613,8,2272189.8074506754,7,2578483.515813703,7,"digital_ads,push,sms"
causal,9,causal-9,2760788.180064085,377900.36043182574,3,1689407.3549925783,8,1580174.082149284,10,1607359.6987328795,10,"digital_ads,sms"
causal,10,causal-10,3963004.9940528395,1559160.77584005,1,2939131.9260526816,8,2773618.5413024793,7,2864422.6523412718,7,"digital_ads,sms"
causal,11,causal-11,2651437.7881489447,1426152.6499674,2,1849867.3092700897,8,1988363.3246538201,6,2009019.5745413615,6,"digital_ads,sms"
causal,12,causal-12,3371268.103562661,1700316.8117184662,4,2222353.6448728377,8,2649304.2467754656,6,2823254.6156427553,6,"digital_ads,push,sms"
causal,13,causal-13,3091936.869616405,1080579.0579578294,4,2137482.590167688,8,2342556.590650513,4,2399723.44846805,4,"digital_ads,sms"
causal,14,causal-14,3090084.0099029015,1823193.333855141,3,2077260.0220100111,8,2346400.1916658934,5,2612638.7134124828,5,"digital_ads,push,sms"
