scenario,seed,world,ceiling,agent,agent_campaigns,history_only,history_only_campaigns,known,known_campaigns,known_channels,known_channels_campaigns,known_channels_mix,known_milp_v1,milp_campaigns,milp_channels,milp_contacts,milp_budget,milp_seconds,history_milp,known_milp,history_milp_v2
high_rich,2,high_rich-2,7588546.588372159,3289066.453778007,3,4249174.602301816,8,4979970.893070722,4,4979970.893070722,4,sms,6315841.567187939,10,"digital_ads,push,sms",14945,99908.0,9.9,4714377.19280632,7130218.847107114,4989112.908809634
high_rich,3,high_rich-3,8144540.4631124865,3835373.5135487993,4,5282878.77691703,8,5567519.147134333,4,5567519.147134333,4,sms,6803870.5534759415,10,"digital_ads,push,sms",14982,99046.0,9.5,5211766.588699612,7387225.714122379,5496356.839209377
high_rich,4,high_rich-4,10217384.829623329,4069377.712162631,3,6935813.412274977,8,7811560.002910604,4,7811560.002910604,4,sms,8984951.446381878,10,"digital_ads,push,sms",15000,99174.0,11.9,5736129.231052849,9475073.998374913,5869971.255951238
resample,0,resample-0,6827536.284832032,4159793.412262253,3,4781487.574262503,8,5065232.598888883,7,5429344.691838244,7,"digital_ads,push,sms",5936264.997842189,10,"digital_ads,push,sms",14071,99156.0,6.3,5807984.922753241,6324664.661850089,6070548.708502399
resample,1,resample-1,6889674.803750872,4365692.090681001,4,4894032.467268917,8,5071541.787090916,8,5461315.467382997,8,"digital_ads,push,sms",5994940.718473863,10,"call,digital_ads,push,sms",14719,99706.0,10.6,5763498.928535889,6497459.486076406,6205718.089432796
resample,2,resample-2,6833739.259258899,3937402.016884784,3,4740862.010028004,8,5270303.515297541,8,5638845.887794759,8,"call,digital_ads,push,sms",6238778.65222409,10,"digital_ads,push,sms",14883,99652.0,6.5,6045897.210689912,6341721.146694342,6278106.574471571
resample,3,resample-3,7116917.333701783,4410279.572350733,4,5371025.141594479,8,5430992.813063001,8,5829173.954340391,8,"digital_ads,push,sms",6557250.162482391,10,"digital_ads,push,sms",14958,98820.0,8.3,5739680.379418213,6641890.647497034,6234294.671590561
resample,4,resample-4,7247382.188290655,4496713.045224357,4,4829160.820274545,8,5305591.975065358,8,5687427.341531539,8,"call,digital_ads,push,sms",6466864.427565729,10,"digital_ads,push,sms",14884,99250.0,8.8,6149864.118875517,6786353.721914865,6659186.435309061
random_soft,0,random_soft-0,3429525.1412706245,939830.7211270344,2,-91186.89975343437,8,1917476.073406592,7,1916962.3199063533,7,"digital_ads,sms",2640565.711146605,10,"digital_ads,push,sms",14991,96598.0,11.5,1192255.6876784526,2771423.691376063,1290799.5238190508
random_soft,1,random_soft-1,2280511.0031869323,67333.73548994774,1,420121.6686622574,8,1089586.871180033,6,1094072.9886179783,6,"digital_ads,sms",1771256.308571315,10,"digital_ads,sms",14371,98074.0,8.0,126575.974820512,1874147.1515521144,158975.3842540321
random_soft,2,random_soft-2,3548565.582269324,831829.2233570112,5,1255350.69551423,8,2960918.5025764424,7,2966068.6587050697,7,"digital_ads,push,sms",3161849.533468106,10,"digital_ads,push,sms",13732,99414.0,6.6,1921946.1830231152,3334384.6569731934,2065589.5208332427
random_soft,3,random_soft-3,4881194.0062294295,1052175.5816331818,3,-1233548.939381608,8,1936645.7307995849,6,1940675.069132512,6,"digital_ads,push,sms",3577571.136385088,10,"call,digital_ads,push,sms",9270,99936.0,9.7,1363583.5868956116,4499560.166580684,1493002.663608302
random_soft,4,random_soft-4,8733676.815606391,2690094.556307636,5,3321447.229374989,8,5756730.241358535,6,6487140.895461617,6,"digital_ads,push,sms",7531171.659081105,10,"digital_ads,push,sms",15000,99130.0,6.9,3675536.631295555,7933788.255830113,4507895.465607677
random_hard,0,random_hard-0,9671594.165875666,1232003.54993983,4,1282319.9789530304,8,3585903.144908889,6,3609923.0608404633,6,"digital_ads,sms",7849093.354263139,10,"digital_ads,sms",14798,99962.0,13.2,1856254.810915202,8878728.418283368,1651476.5500744593
random_hard,1,random_hard-1,3772199.226235605,1579032.8936156014,3,255965.5231826363,8,2200919.145617808,10,2317002.511830972,10,"digital_ads,push,sms",2668975.0291332565,10,"digital_ads,push,sms",12756,96368.0,10.5,1908660.055884919,3308547.0938278483,2053330.5177269955
random_hard,2,random_hard-2,3961313.287063549,914143.4762758329,3,797290.4010144997,8,1740624.7301011528,5,1772918.8165620377,5,"digital_ads,push,sms",2969485.2585438886,10,"digital_ads,sms",14945,99074.0,10.8,876733.7655204909,3690037.787914722,1044605.0923707569
random_hard,3,random_hard-3,10540050.327982271,3778156.0246198457,4,4052176.185311407,8,4852303.461073889,5,4851620.586119687,5,"digital_ads,sms",8612499.950358912,10,"digital_ads,push,sms",14914,97876.0,20.3,910967.077329321,9637221.436405549,1006651.3331037487
random_hard,4,random_hard-4,1688308.1239200372,-269259.50152683305,1,-1624189.2653500224,8,536772.2544965344,6,634407.0536567937,6,"call,digital_ads,push,sms",992785.4880324336,10,"call,digital_ads,push,sms",8198,98970.0,3.1,-1287869.3937397886,1582940.5245107526,-1515489.052610971
causal,0,causal-0,2636638.1670270218,850848.5301355897,1,1694016.718370092,8,1731675.2214852597,5,1731675.2214852597,5,sms,2405820.770077139,10,"digital_ads,sms",15000,99726.0,3.2,1297353.3040455063,2435333.3865690343,1455095.3514379803
causal,1,causal-1,3034296.064695256,320381.7735662294,2,1684532.76002734,8,1970073.607046917,6,2155866.5290716584,6,"digital_ads,push,sms",2757985.724814624,10,"digital_ads,push,sms",14772,99906.0,5.3,1402535.6301430173,2881780.719305663,1675048.8937890502
causal,2,causal-2,2598908.8063501567,1306139.9803903075,3,1839390.683119416,8,1896329.7048047364,5,1896329.7048047364,5,sms,2309068.9726854903,10,"digital_ads,push,sms",14984,99672.0,9.3,1307420.4039410236,2423511.1752121747,1392274.8138657038
causal,3,causal-3,3437561.820037679,1335675.618608798,2,2194656.449202936,8,2071073.9806741928,6,2110033.50086298,6,"digital_ads,sms",3160953.9266625866,10,"digital_ads,push,sms",14822,99342.0,5.5,1774930.0288088254,3260740.926678805,1902296.7448562325
causal,4,causal-4,2704136.716850427,388661.9273343108,2,1602985.1312693127,8,1949552.9786019155,6,2159973.6864496088,6,"digital_ads,push,sms",2367492.067808673,10,"digital_ads,push,sms",15000,98754.0,3.5,1744129.75815893,2574107.361691172,1792652.7542663035
