current_tariff,arpu_segment,n_customers,arpu_sum,arpu_mean,arpu_p90,zero_arpu,heavy_data_share,high_call_share,history_switches,share_customers,share_arpu,cum_share_arpu,addressable_by_filters,fits_one_campaign
tariff_3,MID,87,353907.75615506346,4067.9052431616487,5277.16663423282,0,0.3793103448275862,0.04597701149425287,447.0,0.0037114457574335567,0.00234934419070228,0.9686742291664691,True,True
tariff_6,HIGH,53,341665.53809705016,6446.519586736796,8386.091058525275,0,0.6037735849056604,0.1320754716981132,52.0,0.0022609956913100977,0.002268076732231258,0.9709423058987003,True,True
tariff_20,HIGH,38,287290.72291460045,7560.28218196317,9694.26308621898,0,0.5526315789473685,0.2631578947368421,169.0,0.0016210912503732775,0.0019071206527227118,0.972849426551423,True,True
tariff_18,HIGH,35,286137.26082276856,8175.350309221959,11453.777177293397,0,0.6285714285714286,0.2857142857142857,322.0,0.0014931103621859136,0.0018994636307515594,0.9747488901821746,True,True
tariff_9,MID,67,281271.3997881733,4198.080593853333,6392.425885372531,0,0.4626865671641791,0.1044776119402985,233.0,0.002858239836184463,0.001867162608364861,0.9766160527905394,True,True
tariff_7,MID,52,267570.6779826569,5145.589961204941,8297.347224956964,0,0.4423076923076923,0.07692307692307693,104.0,0.002218335395247643,0.001776213171336657,0.9783922659618761,True,True
tariff_19,HIGH,33,259350.81354660032,7859.115562018192,10177.737183996851,0,0.7878787878787878,0.48484848484848486,61.0,0.0014077897700610043,0.001721647283968117,0.9801139132458442,True,True
tariff_17,HIGH,27,233018.89904674364,8630.329594323839,14436.11787518466,0,0.5185185185185185,0.4074074074074074,194.0,0.0011518279936862763,0.001546848259972716,0.9816607615058169,True,True
tariff_3,HIGH,27,180049.65929309526,6668.505899744269,9767.91771340347,0,0.7407407407407407,0.18518518518518517,137.0,0.0011518279936862763,0.001195222805212618,0.9828559843110296,True,True
tariff_17,MID,32,166536.6493991783,5204.270293724322,7162.403436336197,0,0.34375,0.125,278.0,0.0013651294739985495,0.0011055194552830208,0.9839615037663126,True,True
tariff_1,MID,32,165169.06544740367,5161.533295231365,7696.45710573757,0,0.03125,0.0,314.0,0.0013651294739985495,0.0010964410291775706,0.9850579447954902,True,True
tariff_3,LOW,56,160544.44723558158,2866.865129206814,5161.429407192503,7,0.14285714285714285,0.017857142857142856,374.0,0.002388976579497462,0.0010657414478849815,0.9861236862433752,True,True
tariff_9,LOW,51,157453.03508879975,3087.3144135058774,4998.305687684741,0,0.09803921568627451,0.0,220.0,0.0021756750991851885,0.0010452197411922176,0.9871689059845674,True,True
,MID,41,136536.03286403522,3330.1471430252495,5161.429407192503,0,0.0,0.0,0.0,0.0017490721385606416,0.0009063665038471562,0.9880752724884145,False,True
tariff_6,MID,34,135351.60083776538,3980.929436404864,6500.731396814889,0,0.4411764705882353,0.11764705882352941,101.0,0.001450450066123459,0.0008985038943060994,0.9889737763827207,True,True
tariff_1,LOW,40,132219.59089506813,3305.4897723767035,5078.835230284864,2,0.025,0.0,420.0,0.001706411842498187,0.0008777126874559347,0.9898514890701766,True,True
tariff_5,LOW,44,132153.6839166647,3003.4928162878346,5166.433674460352,0,0.022727272727272728,0.0,186.0,0.0018770530267480056,0.0008772751774716354,0.9907287642476482,True,True
tariff_19,MID,26,119249.02399881552,4586.500923031366,7137.910292768311,0,0.15384615384615385,0.07692307692307693,76.0,0.0011091676976238214,0.0007916102343227092,0.991520374481971,True,True
tariff_6,LOW,30,97039.60915588148,3234.6536385293825,5113.79407469981,0,0.0,0.0,179.0,0.0012798088818736402,0.0006441775803819952,0.992164552062353,True,True
tariff_15,HIGH,14,96923.36662092671,6923.097615780479,12467.032595606746,0,0.0,0.5,77.0,0.0005972441448743655,0.0006434059281097323,0.9928079579904627,True,True
tariff_7,LOW,29,93486.11254736516,3223.6590533574195,5161.429407192503,5,0.0,0.0,187.0,0.0012371485858111856,0.0006205884205834169,0.9934285464110462,True,True
tariff_2,MID,20,92193.04215266432,4609.652107633216,5840.446487642524,0,0.1,0.1,298.0,0.0008532059212490935,0.0006120046374729148,0.9940405510485191,True,True
,HIGH,13,84761.5720443282,6520.120926486785,10104.222666666667,0,0.0,0.0,0.0,0.0005545838488119107,0.0005626723444565745,0.9946032233929757,False,True
tariff_1,HIGH,11,82638.48170901385,7512.589246273987,11873.431469069415,0,0.09090909090909091,0.0,71.0,0.0004692632566870014,0.0005485786438838707,0.9951518020368596,True,True
,LOW,41,72143.31793394098,1759.593120340024,5105.020808073053,9,0.0,0.0,0.0,0.0017490721385606416,0.00047890864763028995,0.9956307106844899,False,True
tariff_18,MID,13,70016.13153131168,5385.85627163936,7189.835131549488,0,0.3076923076923077,0.0,136.0,0.0005545838488119107,0.00046478775615322264,0.9960954984406432,True,True
tariff_18,LOW,19,60062.980205548956,3161.2094845025767,4832.722782099896,0,0.0,0.0,167.0,0.0008105456251866388,0.0003987157985889019,0.996494214239232,True,True
tariff_21,MID,13,57141.37776829388,4395.490597561068,6145.715390926005,0,0.6153846153846154,0.0,0.0,0.0005545838488119107,0.00037932133889104924,0.9968735355781231,True,True
tariff_21,LOW,12,56342.329315095456,4695.194109591288,6853.690441655039,0,0.08333333333333333,0.0,0.0,0.0005119235527494561,0.0003740170193078727,0.9972475525974309,True,True
tariff_9,HIGH,9,52537.21275559647,5837.468083955163,7211.050094569238,0,0.3333333333333333,0.3333333333333333,31.0,0.00038394266456209206,0.00034875753197387044,0.9975963101294048,True,True
tariff_16,MID,10,47207.16015030426,4720.716015030426,9099.188585417856,0,0.3,0.1,193.0,0.00042660296062454675,0.00031337506886985677,0.9979096851982746,True,True
tariff_15,LOW,14,43367.06010503618,3097.647150359727,4020.8679835016173,0,0.0,0.0,191.0,0.0005972441448743655,0.0002878833508270533,0.9981975685491017,True,True
tariff_19,LOW,14,40738.450382627256,2909.889313044804,3597.118045241437,0,0.0,0.0,118.0,0.0005972441448743655,0.00027043386328810495,0.9984680024123898,True,True
tariff_20,MID,7,40256.80953791291,5750.972791130415,7806.87334077923,0,0.42857142857142855,0.2857142857142857,67.0,0.00029862207243718273,0.00026723658913726996,0.998735239001527,True,True
tariff_21,HIGH,5,40063.82816157731,8012.7656323154615,10026.986491212714,0,0.8,0.2,0.0,0.00021330148031227338,0.0002659555217757253,0.9990011945233028,True,True
tariff_2,HIGH,7,36800.23072418845,5257.175817741207,7261.382403964966,0,0.42857142857142855,0.14285714285714285,28.0,0.00029862207243718273,0.00024429079827935476,0.9992454853215822,True,True
tariff_2,LOW,9,23951.38715991484,2661.265239990538,3172.9681761837105,0,0.0,0.0,183.0,0.00038394266456209206,0.0001589963805674623,0.9994044817021497,True,True
tariff_17,LOW,8,23317.104493311017,2914.638061663877,4054.1441044050152,1,0.0,0.0,92.0,0.00034128236849963737,0.0001547858249293543,0.999559267527079,True,True
tariff_16,LOW,8,21006.127868354895,2625.765983544362,3029.127057167199,0,0.0,0.0,506.0,0.00034128236849963737,0.0001394448796851065,0.9996987124067641,True,True
tariff_20,LOW,5,18274.493795633207,3654.8987591266414,5708.044903973488,0,0.0,0.0,78.0,0.00021330148031227338,0.0001213114860867439,0.9998200238928509,True,True
tariff_6,,2,9109.74472992551,4554.872364962755,6033.352079885125,0,0.0,0.0,0.0,8.532059212490934e-05,6.047317553180164e-05,0.9998804970683827,False,True
tariff_16,HIGH,2,8012.469158351882,4006.234579175941,4733.337342583541,0,0.0,0.0,15.0,8.532059212490934e-05,5.318913627342908e-05,0.9999336862046561,True,True
tariff_8,,1,3906.5180204114554,3906.5180204114554,3906.5180204114554,0,0.0,0.0,0.0,4.266029606245467e-05,2.593262017435476e-05,0.9999596188248304,False,True
tariff_5,,1,3644.565627625858,3644.565627625858,3644.565627625858,0,0.0,0.0,0.0,4.266029606245467e-05,2.4193702839178408e-05,0.9999838125276695,False,True
tariff_19,,1,2438.498383103144,2438.498383103144,2438.498383103144,0,0.0,0.0,0.0,4.266029606245467e-05,1.6187472330700176e-05,1.0000000000000002,False,True
